Arquivo,Descrição
drivers/at86rf215,1 
drivers/at86rf215/at86rf215_netdev.c,1 
drivers/at86rf215/at86rf215.c,1 
drivers/at25xxx,1 
drivers/atwinc15x0,2 
drivers/atwinc15x0/atwinc15x0_netdev.c,1 
dist/tools,2 
boards/msba2/board_init.c,1 
boards/native,4 
boards/native/board_init.c,2 
boards/common,2 
boards/common/atmega,1 
boards/common/atmega/board.c,1 
boards/samr34-xpro,1 
boards/samr34-xpro/board.c,1 
boards/pinetime,1 
boards/pinetime/board.c,1 
tests/thread_msg,1 
tests/driver_at86rf2xx,3 
tests/periph_rtc,1 
tests/periph_rtc/main.c,1 
tests/periph_uart,4 
tests/periph_uart/main.c,2 
tests/unittests/tests-vfs,2 
tests/pkg_fatfs,1 
tests/pkg_fatfs_vfs,1 
tests/pkg_fatfs_vfs/main.c,1 
tests/driver_at,5 
tests/mtd_flashpage,1 
tests/mtd_flashpage/main.c,1 
examples/nanocoap_server,1 
examples/nanocoap_server/coap_handler.c,1 
examples/gcoap,2 
examples/filesystem,1 
examples/filesystem/main.c,1 
pkg/fatfs,2 
pkg/fatfs/fatfs_vfs,1 
pkg/fatfs/fatfs_vfs/fatfs_vfs.c,1 
pkg/littlefs,1 
pkg/littlefs/fs,1 
pkg/littlefs/fs/littlefs_fs.c,1 
pkg/fatfs/fatfs_diskio,2 
pkg/fatfs/fatfs_diskio/mtd,1 
pkg/fatfs/fatfs_diskio/mtd/mtd_diskio.c,1 
pkg/littlefs2,1 
pkg/littlefs2/fs,1 
pkg/littlefs2/fs/littlefs2_fs.c,1 
sys/transceiver/transceiver.c,1 
sys/posix,2 
sys/shell/commands/shell_commands.c,2 
sys/vtimer/vtimer.c,3 
sys/net/rpl,2 
sys/net/rpl/rpl.c,1 
sys/net/sixlowpan/ip.c,2 
sys/net/sixlowpan/lowpan.c,2 
sys/net/sixlowpan/mac.c,2 
sys/net/ccn_lite,2 
sys/net/ccn_lite/ccnl-riot-compat.c,2 
sys/net/ccn_lite/ccnl-ext-appserver.c,2 
sys/net/transport_layer,6 
sys/net/transport_layer/destiny,2 
sys/net/routing/rpl,2 
sys/net/network_layer,2 
sys/net/network_layer/sixlowpan,4 
sys/net/network_layer/sixlowpan/ip.c,1 
sys/net/network_layer/sixlowpan/lowpan.c,3 
sys/shell/commands/sc_transceiver.c,1 
sys/posix/pthread,2 
sys/posix/pthread/pthread.c,1 
sys/net/network_layer/sixlowpan/border,1 
sys/net/link_layer/net_if,1 
sys/net/link_layer/net_if/net_if.c,1 
sys/cbor,1 
sys/cbor/cbor.c,1 
sys/net/gnrc/application_layer/zep,1 
sys/net/gnrc/application_layer/zep/gnrc_zep.c,1 
sys/net/gnrc/network_layer/ipv6/netif,2 
sys/net/gnrc/network_layer/ipv6/netif/gnrc_ipv6_netif.c,2 
sys/net/gnrc/network_layer/sixlowpan,3 
sys/net/gnrc/network_layer/sixlowpan/nd,2 
sys/net/gnrc/network_layer/sixlowpan/nd/gnrc_sixlowpan_nd.c,1 
sys/net/gnrc/network_layer/sixlowpan/nd/router,2 
sys/net/gnrc/network_layer/sixlowpan/nd/router/gnrc_sixlowpan_nd_router.c,2 
sys/net/gnrc/netreg,2 
sys/net/gnrc/netreg/gnrc_netreg.c,2 
sys/posix/sockets,1 
sys/posix/sockets/posix_sockets.c,1 
sys/shell/commands/sc_ccnl.c,1 
cpu/lpc2387/lpc2387-lpm.c,2 
cpu/arm_common/bootloader.c,1 
cpu/msp430-common/hwtimer_cpu.c,1 
cpu/cc430/hwtimer_cc430.c,1 
cpu/cc430/cc430-rtc.c,1 
cpu/lpc2387/rtc,1 
cpu/lpc2387/rtc/lpc2387-rtc.c,1 
cpu/lpc2387/lpc2387-adc.c,2 
cpu/lpc_common,1 
cpu/native/net,3 
