Arquivo,Descrição
cpu/stm32/periph/flash_common.c,1 
cpu/stm32/periph/gpio_all.c,1 
cpu/stm32/periph/i2c_1.c,1 
cpu/stm32/periph/pm.c,1 
cpu/stm32/periph/rtc_all.c,1 
cpu/stm32/periph/rtt_all.c,1 
cpu/stm32/periph/uart.c,1 
cpu/stm32/stmclk,3 
cpu/stm32/stmclk/stmclk_common.c,1 
drivers/lsm303dlhc,1 
drivers/lsm303dlhc/lsm303dlhc.c,1 
drivers/lps331ap,1 
drivers/lps331ap/lps331ap.c,1 
drivers/l3g4200d,1 
drivers/l3g4200d/l3g4200d.c,1 
drivers/isl29020,1 
drivers/isl29020/isl29020.c,1 
drivers/bmp180,1 
drivers/bmp180/bmp180.c,1 
drivers/adxl345,1 
drivers/adxl345/adxl345.c,1 
drivers/hd44780,1 
drivers/hd44780/hd44780.c,1 
drivers/sx127x,3 
drivers/sx127x/sx127x_internal.c,1 
drivers/sx127x/sx127x_netdev.c,2 
drivers/sx127x/sx127x_getset.c,1 
drivers/sx127x/sx127x.c,2 
drivers/hts221,2 
drivers/hts221/hts221.c,1 
drivers/ili9341,1 
drivers/stmpe811,2 
drivers/stmpe811/stmpe811.c,2 
tests/driver_io1_xplained,1 
tests/driver_io1_xplained/main.c,1 
tests/driver_sx127x,2 
tests/driver_sx127x/main.c,2 
tests/periph,2 
tests/periph/uart,1 
examples/lorawan,1 
examples/lorawan/main.c,1 
pkg/semtech-loramac,1 
pkg/semtech-loramac/contrib,1 
pkg/semtech-loramac/contrib/semtech_loramac.c,1 
pkg/semtech-loramac/contrib/semtech_loramac_timer.c,1 
pkg/lvgl,1 
pkg/lvgl/contrib,1 
pkg/lvgl/contrib/lvgl.c,1 
cpu/nrf5x_common/periph/i2c_nrf52_nrf9160.c,1 
coap-chat/coap.c,1 
drivers/mpu9150,1 
sys/crypto/modes,1 
sys/crypto/modes/ccm.c,1 
tests/sys_crypto,2 
tests/sys_crypto/tests-crypto-modes-ccm.c,1 
sys/net/gnrc/netif/gnrc_netif_ieee802154.c,1 
sys/riotboot/flashwrite.c,1 
sys/usb,3 
sys/usb/usbus,2 
sys/usb/usbus/usbus.c,1 
sys/usb/usbus/cdc,1 
sys/usb/usbus/cdc/ecm,1 
sys/usb/usbus/cdc/ecm/cdc_ecm.c,1 
sys/usb/usbus/usbus_control.c,1 
sys/usb/usbus/cdc/acm,1 
sys/usb/usbus/usbus_fmt.c,1 
sys/usb/usbus/cdc/acm/cdc_acm.c,1 
sys/usb/usbus/cdc/ecm/cdc_ecm_netdev.c,1 
cpu/fe310/periph,1 
cpu/fe310/periph/gpio.c,1 
cpu/nrf52/radio,2 
cpu/nrf52/radio/nrf802154,2 
cpu/nrf52/radio/nrf802154/nrf802154.c,2 
cpu/sam0_common/periph/usbdev.c,1 
cpu/stm32/periph/dma.c,1 
cpu/stm32/periph/spi.c,2 
cpu/riscv_common,2 
drivers/kw2xrf/kw2xrf_getset.c,1 
drivers/kw2xrf/kw2xrf_netdev.c,1 
drivers/mrf24j40/mrf24j40_netdev.c,1 
tests/xtimer_usleep,1 
cpu/stm32_common/periph/i2c_2.c,2 
drivers/periph_common/i2c.c,1 
sys/net/gnrc/link_layer/lorawan,2 
sys/net/gnrc/link_layer/lorawan/gnrc_lorawan_mcps.c,1 
sys/net/gnrc/link_layer/lorawan/gnrc_lorawan_mlme.c,1 
sys/net/gnrc/netif/lorawan,1 
sys/net/gnrc/netif/lorawan/gnrc_netif_lorawan.c,1 
sys/net/gnrc/link_layer/lorawan/gnrc_lorawan.c,2 
sys/net/gnrc/link_layer/lorawan/gnrc_lorawan_region.c,1 
sys/net/gnrc/netif/init_devs/auto_init_kw2xrf.c,1 
sys/net/link_layer/ieee802154/submac.c,1 
cpu/cc2538/radio,1 
cpu/cc2538/radio/cc2538_rf.c,1 
cpu/esp32/esp-eth,2 
cpu/esp_common/esp-wifi,2 
cpu/cc2538/radio/cc2538_rf_radio_ops.c,1 
cpu/nrf52/radio/nrf802154/nrf802154_radio.c,1 
drivers/at86rf2xx/at86rf2xx_netdev.c,1 
drivers/at86rf2xx/at86rf2xx_getset.c,1 
drivers/netdev_ieee802154,1 
drivers/netdev_ieee802154_submac,1 
drivers/netdev_ieee802154_submac/netdev_ieee802154_submac.c,1 
drivers/sx126x,2 
drivers/sx126x/sx126x_netdev.c,1 
tests/ieee802154_hal,1 
tests/ieee802154_hal/main.c,1 
tests/ieee802154_submac,1 
tests/ieee802154_submac/main.c,1 
pkg/openthread/contrib/openthread.c,1 
cpu/esp8266/periph,1 
cpu/esp32,2 
cpu/esp32/periph,1 
cpu/esp32/periph/pwm.c,1 
cpu/esp32/periph/gpio.c,1 
cpu/esp32/startup.c,1 
cpu/esp32/syscalls.c,1 
cpu/esp8266/startup.c,2 
cpu/esp_common,1 
cpu/esp_common/esp-now,1 
cpu/esp_common/esp-now/esp_now_netdev.c,1 
cpu/esp32/esp-eth/esp_eth_netdev.c,1 
cpu/esp32/periph/spi.c,1 
cpu/esp_common/esp-now/esp_now_gnrc.c,1 
cpu/esp32/periph/adc.c,1 
cpu/esp32/periph/i2c_hw.c,1 
cpu/esp32/periph/timer.c,1 
cpu/esp32/periph/can.c,1 
cpu/esp_common/periph,1 
cpu/esp_common/periph/uart.c,1 
cpu/esp_common/periph/flash.c,1 
cpu/esp_common/periph/i2c_sw.c,1 
cpu/esp_common/freertos,1 
cpu/esp_common/freertos/task.c,1 
cpu/esp_common/esp-wifi/esp_wifi_netdev.c,1 
cpu/esp_common/syscalls.c,1 
cpu/stm32/periph/adc_l4.c,1 
drivers/ccs811,1 
drivers/ccs811/ccs811.c,1 
drivers/saul/init_devs/init.c,1 
sys/arduino,1 
sys/shell/commands/sc_pm.c,1 
sys/shell/cmds,1 
cpu/atmega_common/periph/gpio.c,1 
cpu/atmega_common/periph/timer.c,1 
cpu/nrf5x_common/periph/timer.c,1 
cpu/atmega_common/cpu.c,1 
cpu/stm32/periph/eth.c,1 
drivers/servo,1 
drivers/mpl3115a2,1 
drivers/fxos8700,1 
drivers/bmx055,1 
drivers/ad7746,1 
drivers/cc110x/cc110x_netdev.c,1 
drivers/mpu9x50,1 
tests/periph_timer,1 
tests/gnrc_sock_ip,1 
pkg/wakaama,1 
pkg/wakaama/contrib,1 
pkg/wakaama/contrib/lwm2m_client_connection.c,1 
pkg/tinydtls,2 
pkg/tinydtls/contrib,2 
pkg/tinydtls/contrib/sock_dtls.c,2 
cpu/cc26xx_cc13xx,2 
cpu/cc26xx_cc13xx/periph,2 
tests/xtimer_mutex_lock_timeout,1 
tests/xtimer_mutex_lock_timeout/main.c,1 
sys/net/gnrc/sock/ip,1 
sys/net/gnrc/sock/ip/gnrc_sock_ip.c,1 
sys/net/gnrc/network_layer/ipv6/ext/frag,1 
sys/net/gnrc/network_layer/ipv6/ext/frag/gnrc_ipv6_ext_frag.c,1 
tests/lwip/udp.c,1 
pkg/lwip,2 
pkg/lwip/contrib/sock,1 
pkg/lwip/contrib/sock/lwip_sock.c,1 
pkg/lwip/contrib/sock/tcp,1 
pkg/lwip/contrib/sock/tcp/lwip_sock_tcp.c,1 
pkg/lwip/contrib/sock/udp,1 
pkg/lwip/contrib/sock/udp/lwip_sock_udp.c,1 
pkg/lwip/contrib/sock/ip,1 
pkg/lwip/contrib/sock/ip/lwip_sock_ip.c,1 
drivers/mcp2515,1 
drivers/mcp2515/candev_mcp2515.c,1 
tests/lwip_sock_tcp,1 
tests/lwip_sock_tcp/main.c,1 
tests/periph_flashpage,1 
cpu/cc26x0,2 
sys/net/gnrc/link_layer/lwmac/tx_state_machine.c,1 
sys/net/gnrc/link_layer/gomach/gomach_internal.c,1 
sys/net/gnrc/link_layer/gomach/gomach.c,1 
sys/net/application_layer/asymcute,1 
sys/net/application_layer/asymcute/asymcute.c,1 
drivers/rn2xx3/rn2xx3.c,1 
cpu/stm32/periph/pwm.c,1 
sys/shell/cmds/gnrc_netif.c,1 
pkg/lwip/contrib/lwip.c,1 
pkg/lwip/contrib/netdev,1 
pkg/lwip/contrib/netdev/lwip_netdev.c,1 
drivers/nrf24l01p,1 
drivers/nrf24l01p_ng,1 
pkg/tlsf,1 
pkg/tlsf/contrib,1 
examples/gnrc_networking_mac,1 
tests/periph/flashpage,1 
